lat,lon
-21.2325,-49.6451
-22.0572,-46.9735
-21.9319,-46.7176
-22.4733,-46.6314
-22.8812,-49.2421
-22.5977,-47.8734
-22.4694,-48.9863
-20.5242,-49.0571
-21.0214,-47.3712
-23.5306,-47.2546
-20.3203,-49.9141
-22.0764,-51.4722
-22.4435,-49.7623
-22.7374,-47.3331
-21.7288,-48.1147
-20.2985,-49.7359
-22.1289,-47.6619
-20.8948,-51.3786
-23.4917,-48.4139
-22.2934,-51.3895
-22.8495,-45.2325
-20.4487,-50.8835
-24.5108,-48.8443
-23.4366,-47.0608
-21.2076,-50.4401
-23.5029,-47.6166
-20.0882,-47.7873
-23.1386,-49.0487
-22.6717,-44.4441
-22.3572,-47.3842
-222.904,-519.084
-208.169,-495.206
-206.179,-494.617
-214.647,-470.024
-235.208,-461.854
-223.675,-469.428
-224.332,-469.532
-208.509,-500.975
-240.809,-466.265
-212.655,-484.971
-209.065,-486.387
-212.981,-515.679
-229.544,-458.407
-207.288,-480.581
-228.811,-467.896
-215.103,-481.538
-209.908,-512.774
-224.057,-515.274
-233.707,-454.468
-231.747,-463.983
-206.945,-500.436
-209.114,-497.833
-210.156,-494.986
-241.224,-489.022
-203.836,-509.483
-207.615,-503.477
-217.765,-485.705
-205.321,-493.123
-211.026,-514.905
-209.893,-489.141
-227.832,-472.941
-214.651,-492.234
-207.296,-477.429
-229.435,-493.419
-207.366,-489.106
-206.042,-492.929
-221.549,-500.971
-201.861,-493.464
-207.169,-478.852
-235.324,-467.916
-223.149,-502.811
-217.968,-508.793
-229.797,-498.697
-200.061,-503.768
-214.872,-517.024
-215.627,-512.654
-210.854,-488.037
-204.148,-507.632
-224.114,-505.732
-233.872,-456.639
-210.159,-487.761
-233.862,-487.214
-201.048,-505.886
-217.792,-507.949
-230.841,-483.679
-247.147,-478.742
-203.034,-500.163
-206.384,-472.801
-213.153,-518.321
-227.542,-471.488
-225.768,-494.008
-223.511,-487.781
-227.902,-464.455
-202.474,-501.129
-202.535,-474.775
-227.413,-468.948
-228.174,-507.933
-242.764,-472.354
-214.148,-500.769
-206.368,-511.123
-215.921,-506.003
-237.139,-474.256
-238.077,-477.222
-229.246,-454.613
-211.853,-489.086
-227.811,-465.897
-218.747,-517.282
-226.069,-451.869
-230.525,-463.594
-227.338,-476.476
-231.981,-493.803
-210.886,-486.607
-233.965,-469.991
-222.711,-514.976
-224.142,-491.339
-238.911,-46.424
-230.731,-449.576
-219.002,-476.181
-236.813,-466.205
-204.642,-506.073
-216.637,-467.361
-215.155,-483.935
-223.673,-483.819
-221.044,-483.178
-214.843,-51.535
-224.146,-494.084
-212.324,-479.756
-224.326,-502.038
-245.281,-481.141
-230.428,-473.682
-211.678,-491.146
-209.796,-488.325
-236.437,-468.579
-238.297,-468.136
-218.314,-514.832
-224.836,-47.211
-221.909,-467.477
-226.925,-494.341
-202.875,-504.049
-224.859,-516.632
-225.545,-525.928
-233.916,-495.124
-202.806,-502.471
-212.661,-486.874
-223.607,-495.187
-235.411,-46.371
-216.727,-513.821
-206.752,-501.513
-216.127,-511.724
-205.352,-474.039
-232.792,-467.448
-233.229,-46.729
-215.294,-505.573
-222.918,-495.504
-222.125,-496.546
-207.948,-501.912
-218.367,-484.957
-206.485,-50.364
-217.961,-499.312
-213.812,-502.123
-216.195,-498.013
-219.091,-498.986
-203.196,-48.312
-230.731,-449.576
-219.002,-476.181
-236.813,-466.205
-204.642,-506.073
-216.637,-467.361
-215.155,-483.935
-223.673,-483.819
-221.044,-483.178
-224.146,-494.084
-212.324,-479.756
-224.326,-502.038
-245.281,-481.141
-230.428,-473.682
-211.678,-491.146
-209.796,-488.325
-236.437,-468.579
-238.297,-468.136
-218.314,-514.832
-221.909,-467.477
-226.925,-494.341
-202.875,-504.049
-224.859,-516.632
-225.545,-525.928
-233.916,-495.124
-202.806,-502.471
-212.661,-486.874
-223.607,-495.187
-216.727,-513.821
-206.752,-501.513
-216.127,-511.724
-205.352,-474.039
-232.792,-467.448
-215.294,-505.573
-222.918,-495.504
-222.125,-496.546
-207.948,-501.912
-218.367,-484.957
-217.961,-499.312
-213.812,-502.123
-216.195,-498.013
-219.091,-498.986
-207.959,-492.172
-241.892,-485.295
-204.302,-478.236
-210.292,-512.119
-204.977,-489.391
-200.746,-503.411
-218.942,-495.914
-212.544,-506.453
-234.112,-460.369
-228.075,-451.938
-233.714,-481.837
-213.594,-482.316
-234.538,-465.333
-214.944,-480.356
-206.467,-506.645
-220.038,-503.907
-226.405,-470.487
-228.529,-472.143
-218.572,-506.932
-228.682,-491.634
-219.584,-479.882
-228.185,-500.739
-217.562,-488.319
-203.391,-491.915
-226.602,-510.779
-200.407,-477.466
-237.785,-453.552
-247.307,-475.383
-204.326,-513.426
-230.816,-472.101
-221.738,-512.555
-217.695,-509.633
-230.575,-496.279
-233.513,-476.927
-224.355,-477.151
-206.557,-493.842
-245.847,-485.971
-204.438,-480.129
-212.768,-494.164
-215.684,-513.472
-213.123,-490.629
-219.857,-488.116
-246.393,-488.413
-237.161,-468.572
-235.886,-480.483
-239.788,-488.764
-235.488,-469.327
-224.357,-468.224
-215.942,-488.149
-237.043,-494.819
-222.324,-487.197
-206.419,-515.063
-234.835,-463.457
-241.085,-493.352
-242.834,-471.736
-230.035,-468.464
-231.047,-486.157
-222.562,-478.166
-206.416,-472.194
-217.309,-469.743
-232.544,-472.927
-231.526,-470.593
-203.355,-477.902
-206.884,-484.112
-232.983,-459.658
-208.805,-495.797
-246.963,-480.064
-227.037,-469.851
-202.672,-505.494
-232.522,-456.942
-235.275,-469.023
-210.176,-477.606
-222.936,-485.592
-203.116,-475.918
-222.473,-507.694
-210.551,-496.892
-220.112,-497.873
-230.884,-477.868
-231.852,-468.974
-215.103,-514.342
-243.101,-476.426
-239.244,-470.653
-230.846,-451.944
-230.506,-478.375
-211.639,-510.412
-221.809,-473.841
-226.027,-488.037
-216.718,-497.526
-227.334,-451.197
-230.856,-469.484
-217.182,-510.215
-216.737,-503.294
-225.002,-487.102
-208.022,-499.687
-201.444,-501.973
-206.445,-502.305
-233.171,-465.897
-230.056,-493.202
-221.068,-519.617
-226.149,-506.713
-217.959,-511.824
-222.171,-499.501
-204.389,-508.254
-221.462,-511.709
-236.677,-464.613
-211.757,-495.791
-203.579,-501.811
-199.684,-506.326
-242.766,-474.625
-211.313,-511.035
-222.904,-519.084
-208.169,-495.206
-206.179,-494.617
-214.647,-470.024
-235.208,-461.854
-223.675,-469.428
-224.332,-469.532
-208.509,-500.975
-240.809,-466.265
-212.655,-484.971
-209.065,-486.387
-212.981,-515.679
-229.544,-458.407
-207.288,-480.581
-228.811,-467.896
-215.103,-481.538
-209.908,-512.774
-224.057,-515.274
-233.707,-454.468
-231.747,-463.983
-206.945,-500.436
-209.114,-497.833
-210.156,-494.986
-241.224,-489.022
-203.836,-509.483
-207.615,-503.477
-217.765,-485.705
-205.321,-493.123
-211.026,-514.905
-209.893,-489.141
-227.832,-472.941
-214.651,-492.234
-207.296,-477.429
-229.435,-493.419
-207.366,-489.106
-206.042,-492.929
-221.549,-500.971
-201.861,-493.464
-207.169,-478.852
-235.324,-467.916
-223.149,-502.811
-217.968,-508.793
-229.797,-498.697
-200.061,-503.768
-214.872,-517.024
-215.627,-512.654
-210.854,-488.037
-204.148,-507.632
-224.114,-505.732
-233.872,-456.639
-210.159,-487.761
-233.862,-487.214
-201.048,-505.886
-217.792,-507.949
-230.841,-483.679
-247.147,-478.742
-203.034,-500.163
-206.384,-472.801
-213.153,-518.321
-227.542,-471.488
-225.768,-494.008
-223.511,-487.781
-227.902,-464.455
-202.474,-501.129
-202.535,-474.775
-227.413,-468.948
-228.174,-507.933
-242.764,-472.354
-214.148,-500.769
-206.368,-511.123
-215.921,-506.003
-237.139,-474.256
-238.077,-477.222
-229.246,-454.613
-211.853,-489.086
-227.811,-465.897
-218.747,-517.282
-226.069,-451.869
-230.525,-463.594
-227.338,-476.476
-231.981,-493.803
-210.886,-486.607
-233.965,-469.991
-222.711,-514.976
-224.142,-491.339
-226.371,-502.104
-235.333,-463.473
-207.829,-498.258
-217.396,-493.604
-210.216,-480.423
-204.396,-505.258
-201.727,-497.064
-231.761,-481.195
-232.093,-475.251
-228.343,-452.552
-210.428,-493.815
-218.496,-510.868
-213.626,-480.679
-240.084,-464.121
-228.112,-486.636
-220.999,-494.381
-220.082,-515.565
-217.651,-521.111
-221.207,-513.925
-218.732,-518.447
-215.356,-498.599
-232.993,-480.547
-222.456,-506.966
-217.969,-502.415
-225.312,-447.781
-230.105,-475.318
-232.638,-455.422
-222.181,-513.055
-218.914,-492.268
-244.979,-478.449
-206.056,-474.833
-246.517,-490.044
-242.206,-487.635
-218.382,-516.103
-241.011,-483.679
-237.067,-464.058
-211.699,-478.099
-200.803,-474.291
-215.894,-480.728
-217.284,-507.239
-223.984,-475.546
-228.417,-476.047
-237.437,-463.971
-199.868,-496.836
-225.782,-530.603
-213.006,-507.296
-214.593,-495.755
-218.823,-509.594
-213.427,-494.897
-207.696,-478.369
-235.288,-458.465
-216.267,-508.614
-228.442,-476.754
-231.996,-472.931
-236.474,-475.743
-228.894,-499.831
-224.551,-517.648
-212.427,-488.063
-200.311,-507.297
-227.553,-474.143
-233.933,-458.875
